Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002376~immune system process	19	19.791666666666664	2.5099904843395944E-13	H2-K1, BST2, IFITM2, HC, CTPS, C3, H2-D1, PGLYRP1, H2-AB1, HP, H2-Q7, PSMB8, B2M, PSMB9, LCN2, SFTPD, SLPI, LBP, CD14	88	383	18082	10.19338950866366	1.8123746947651398E-10	1.8123746947651398E-10	3.801181591711611E-10
GOTERM_BP_DIRECT	GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	6	6.25	2.9754019422035855E-7	H2-K1, H2-D1, H2-Q7, PSMB8, B2M, PSMB9	88	30	18082	41.095454545454544	2.1480097918114005E-4	1.0740625764260603E-4	4.5056644396579415E-4
GOTERM_BP_DIRECT	GO:0045087~innate immune response	13	13.541666666666666	4.631046740436566E-7	LCN2, CYBA, BST2, C3, IFITM2, HC, PGLYRP1, SFTPD, SLPI, VNN1, LBP, CD14, B2M	88	400	18082	6.678011363636364	3.3430575946113983E-4	1.1144767327619931E-4	7.012806534922866E-4
GOTERM_BP_DIRECT	GO:0002474~antigen processing and presentation of peptide antigen via MHC class I	6	6.25	7.69471983195643E-7	H2-K1, H2-Q4, H2-D1, H2-Q6, H2-Q7, B2M	88	36	18082	34.24621212121212	5.554046913254229E-4	1.3888010167673048E-4	0.0011652109694004764
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	6	6.25	6.030594807663102E-6	H2-K1, H2-D1, H2-AB1, H2-DMB2, PSMB8, PSMB9	88	54	18082	22.83080808080808	0.004344637218105185	8.704414618602163E-4	0.009131786407134967
GOTERM_BP_DIRECT	GO:0006979~response to oxidative stress	6	6.25	4.5519172269019976E-4	GPX1, GCLC, PTGS1, PRDX2, PRDX1, SOD2	88	133	18082	9.269651401230348	0.28015779125427875	0.0533134257558453	0.6870859332751
GOTERM_BP_DIRECT	GO:0006953~acute-phase response	4	4.166666666666666	6.299556379400278E-4	ITIH4, SAA3, HP, LBP	88	35	18082	23.48311688311688	0.3655338177462675	0.06292869350139507	0.9497087478433586
GOTERM_BP_DIRECT	GO:0009615~response to virus	5	5.208333333333334	7.195097275289615E-4	LCN2, NPC2, BST2, IFITM2, CLU	88	84	18082	12.230790043290044	0.4052850123739812	0.06289423327665444	1.084032799706991
GOTERM_BP_DIRECT	GO:1902176~negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	3	3.125	0.001223655031404263	GPX1, VNN1, SOD2	88	11	18082	56.039256198347104	0.5868811317114979	0.09355455673234225	1.8370416594339356
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	8	8.333333333333332	0.001347645374350335	CYBA, CHIL1, C3, HC, PTGS1, VNN1, AGER, CD14	88	344	18082	4.778541226215645	0.6223004268379118	0.09277575196863208	2.0214158601099763
GOTERM_BP_DIRECT	GO:0019430~removal of superoxide radicals	3	3.125	0.00146379841135919	PRDX2, PRDX1, SOD2	88	12	18082	51.36931818181818	0.6527244512254242	0.0916711471656384	2.193842492902187
GOTERM_BP_DIRECT	GO:0042744~hydrogen peroxide catabolic process	3	3.125	0.0020056827116078893	GPX1, PRDX2, PRDX1	88	14	18082	44.03084415584415	0.7653257930200531	0.11378564620505516	2.9945192016194166
GOTERM_BP_DIRECT	GO:0015992~proton transport	4	4.166666666666666	0.0027425994852516597	ATP5J2, ATP6V0E, ATP5F1, ATP6V1G1	88	58	18082	14.170846394984327	0.8623274434503971	0.14146601656716795	4.073551546534315
GOTERM_BP_DIRECT	GO:0032760~positive regulation of tumor necrosis factor production	4	4.166666666666666	0.002879563378757288	CYBA, CLU, LBP, CD14	88	59	18082	13.930662557781202	0.8753248705035099	0.13818738904505246	4.272861765049241
GOTERM_BP_DIRECT	GO:0001916~positive regulation of T cell mediated cytotoxicity	3	3.125	0.0037105150624182244	H2-K1, H2-D1, B2M	88	19	18082	32.44377990430622	0.9317088040911474	0.16383693263638333	5.473797645920664
GOTERM_BP_DIRECT	GO:0045454~cell redox homeostasis	4	4.166666666666666	0.0037897774237732034	GPX1, GCLC, PRDX2, PRDX1	88	65	18082	12.644755244755245	0.9355211017708107	0.1574637401184119	5.587613685841086
GOTERM_BP_DIRECT	GO:0000302~response to reactive oxygen species	3	3.125	0.004528430319127493	GPX1, PRDX1, SOD2	88	21	18082	29.353896103896105	0.9622568783386325	0.17532168011297022	6.642138493142291
GOTERM_BP_DIRECT	GO:0071333~cellular response to glucose stimulus	4	4.166666666666666	0.0048574064519671025	GPX1, ICAM1, CYBA, GCLC	88	71	18082	11.576184379001281	0.9702698239064074	0.17742096239377203	7.108245788027201
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	4	4.166666666666666	0.0067695583475408695	LCN2, ICAM1, CHIL1, SAA3	88	80	18082	10.273863636363636	0.9925849212849596	0.22749583474214496	9.774716566149355
GOTERM_BP_DIRECT	GO:0046686~response to cadmium ion	3	3.125	0.008539554290605685	GCLC, SOD2, B2M	88	29	18082	21.25626959247649	0.9979543395765041	0.2662608755381167	12.179079058529407
GOTERM_BP_DIRECT	GO:0061518~microglial cell proliferation	2	2.083333333333333	0.00959994444495678	CLU, IL33	88	2	18082	205.47727272727275	0.9990553005580141	0.28226129839893543	13.590708555684083
GOTERM_BP_DIRECT	GO:0006955~immune response	6	6.25	0.010078440013879074	H2-K1, H2-D1, SLPI, H2-AB1, H2-DMB2, B2M	88	272	18082	4.532586898395722	0.9993335533723628	0.2828240805829755	14.22073483420606
GOTERM_BP_DIRECT	GO:0050830~defense response to Gram-positive bacterium	4	4.166666666666666	0.010225334135274464	SCD1, PGLYRP1, LBP, B2M	88	93	18082	8.837732160312806	0.9994012675871422	0.27576470556168853	14.413285224654482
GOTERM_BP_DIRECT	GO:0045071~negative regulation of viral genome replication	3	3.125	0.010335743743035725	BST2, IFITM2, SLPI	88	32	18082	19.263494318181817	0.9994476007825247	0.26842215659269664	14.557745504862641
